Actual,Population,RandMatchProb
TSI,TSI,4.301886369924259e-68
TSI,IBS,3.126783877940062e-71
TSI,CEU,2.5989788793657547e-71
TSI,GBR,2.15933433645577e-71
TSI,FIN,7.107801343114046e-73
TSI,PUR,3.4022334730999886e-74
TSI,CLM,2.792690889953185e-74
TSI,GIH,3.2425117010289596e-75
TSI,PJL,1.6845366324389626e-75
TSI,ITU,2.5848295045765056e-76
TSI,BEB,1.9473069706425992e-76
TSI,STU,1.9962471243490105e-77
TSI,MXL,5.325754280457828e-78
TSI,PEL,2.1157856247323182e-86
TSI,ASW,3.499325703242474e-94
TSI,CHB,4.071525366280878e-98
TSI,KHV,2.0665397451705566e-98
TSI,ACB,6.323617660900897e-101
TSI,CHS,1.0504876239387233e-101
TSI,CDX,9.156191861754199e-105
TSI,JPT,1.1721065946457134e-106
TSI,LWK,1.2094182025836556e-107
TSI,GWD,4.635102189652093e-113
TSI,MSL,3.345536838719476e-116
TSI,YRI,1.89376236732862e-118
TSI,ESN,5.415138400401747e-120
